Country,Genus,Species,Taxon,Site,Lat,Hab,FemState,Female,Male,Time
Cameroon,Pseudagrion,malagasoides,Pseudagrion_malagasoides,Swamp near village after river crossing Dja,Trp,C,0,3,1,235
Cameroon,Pseudagrion,malagasoides,Pseudagrion_malagasoides,Rainforest stream inlet to Dja river,Trp,C,0,2,4,156
Cameroon,Pseudagrion,malagasoides,Pseudagrion_malagasoides,Walk around Dja river near ferry crossing,Trp,C,0,3,4,165
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,Rainforest stream deep in Dja,Trp,C,0,0,2,75
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,Forest stream at Mefou Primate Sanctuary,Trp,C,0,0,5,60
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,Swamp near village after river crossing Dja,Trp,C,0,5,5,160
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,Rainforest stream at the entrance of Dja reserve,Trp,C,0,1,14,75
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,First forest stream at Mbam Minkoum,Trp,C,0,1,16,42
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,Stream at Toungrolo,Trp,C,0,0,17,33
Cameroon,Pseudagrion,melanicterum,Pseudagrion_melanicterum,stream with pools Nyasosso,Trp,C,0,0,19,75
Cameroon,Pseudagrion,nubicum,Pseudagrion_nubicum,Djerem dam beach near Mbakaou,Trp,O,1,2,6,24
Cameroon,Pseudagrion,nubicum,Pseudagrion_nubicum,Djerem dam,Trp,O,1,32,41,69
Cameroon,Pseudagrion,serrulatum,Pseudagrion_serrulatum,Forest stream before rapid section of Dja,Trp,C,,0,1,120
Cameroon,Pseudagrion,sjoestedti,Pseudagrion_sjoestedti,Natchigal river at Bachenga,Trp,O,2,0,1,90
Cameroon,Pseudagrion,sjoestedti,Pseudagrion_sjoestedti,Small stream before rapid section of Dja,Trp,C,2,0,1,60
Cameroon,Pseudagrion,sjoestedti,Pseudagrion_sjoestedti,Walk around Dja river near ferry crossing,Trp,C,2,0,1,165
Cameroon,Pseudagrion,sp,Pseudagrion_sp,Boat landing site Djerem river,Trp,O,2,0,1,87
Cameroon,Pseudagrion,sp,Pseudagrion_sp,Natchigal river at Bachenga,Trp,O,2,1,1,90
