Taxon	Lat	Hab	State
Ischnura_damula	Tmp	O	1
Ischnura_demorsa	Tmp	O	1
Ischnura_denticollis	Tmp	O	1
Ischnura_erratica	Tmp	O	1
Ischnura_kellicotti	Tmp	O	0
Ischnura_perparva	Tmp	O	1
Ischnura_prognata	Tmp	C	2
Ischnura_verticalis	Tmp	O	1
Nehalennia_gracilis	Tmp	O	1
Nehalennia_integricollis	Tmp	O	0
Nehalennia_irene	Tmp	O	1
Nehalennia_pallidula	Tmp	O	1
Zoniagrion_exclamationis	Tmp	C	0
Acanthagrion_adustum	Trp	O	0
Acanthagrion_cuyabae	Trp	O	0
Acanthagrion_floridense	Trp	O	0
Acanthagrion_lancea	Trp	O	0
Acanthagrion_minutum	Trp	O	1
Acanthagrion_obsoletum	Trp	C	2
Acanthagrion_rubrifrons	Trp	C	2
Acanthagrion_temporale	Trp	O	1
Acanthagrion_yungarum	Trp	O	0
Aeolagrion_dorsale	Trp	C	0
Aeolagrion_inca	Trp	C	0
Aeolagrion_philipi	Trp	C	0
Amazoneura_ephippigera	Trp	C	0
Andinagrion_garrisoni	Tmp	O	2
Anisagrion_inornatum	Trp	O	2
Anomisma_abnorme	Trp	C	0
Argia_claussenii	Trp	C	2
Argia_croceipennis	Trp	O	2
Argia_euphorbia	Trp	C	2
Argia_fumigata	Trp	C	2
Argia_huanacina	Trp	O	0
Argia_inculta	Trp	O	2
Argia_jocosa	Trp	O	2
Argia_joergenseni	Tmp	O	2
Argia_lilacina	Trp	O	2
Argia_meioura	Trp	C	2
Argia_modesta	Trp	O	2
Argia_orichalcea	Trp	O	2
Calvertagrion_declivatum	Trp	C	2
Cyanallagma_interruptum	Tmp	O	1
Dolonagrion_fulvellum	Trp	C	2
Epipleoneura_fuscaenea	Trp	C	0
Epipleoneura_lamina	Trp	C	0
Epipleoneura_spatulata	Trp	C	0
Epipleoneura_venezuelensis	Trp	C	0
Forcepsioneura_sancta	Trp	C	0
Homeoura_chelifera	Trp	O	1
Ischnura_cruzi	Trp	O	2
Ischnura_fluviatilis	Trp	O	1
Leptagrion_elongatum	Trp	C	0
Leptagrion_perlongum	Trp	C	0
Mecistogaster_lucretia	Trp	C	0
Mesamphiagrion_dunklei	Trp	O	0
Mesoleptobasis_acuminata	Trp	C	0
Mesoleptobasis_elongata	Trp	C	2
Metaleptobasis_byrsonima	Trp	C	0
Metaleptobasis_mauffrayi	Trp	C	0
Metaleptobasis_minteri	Trp	C	2
Metaleptobasis_quadricornis	Trp	C	0
Microstigma_anomalum	Trp	C	0
Microstigma_rotundatum	Trp	C	0
Minagrion_mecistogastrum	Trp	C	2
Neoneura_bilinearis	Trp	O	2
Neoneura_confundens	Trp	C	2
Neoneura_fulvicollis	Trp	C	2
Neoneura_joana	Trp	O	2
Neoneura_rubriventris	Trp	C	2
Neoneura_sylvatica	Trp	O	2
