Taxon,Region_1,Region_2,Region_3,Region_4,Biome_1,Biome_2,Biome_3
Tuberculobasis_geijskesi,S_Am,,,,T,,
Aciagrion_approximans,SE_As,,,,T,,
Aciagrion_borneense,SE_As,,,,T,,
Agriocnemis_nana,SE_As,,,,T,,
Amphicnemis_ecornuta,SE_As,,,,T,,
Amphicnemis_gracilis,SE_As,,,,T,,
Amphicnemis_martini,SE_As,,,,T,,
Amphicnemis_triplex,SE_As,,,,T,,
Amphicnemis_wallacii,SE_As,,,,T,,
Archibasis_melanocyana,SE_As,,,,T,,
Archibasis_rebeccae,SE_As,,,,T,,
Archibasis_viola,SE_As,,,,T,,
Calicnemia_chaseni,SE_As,,,,T,,
Calicnemia_rectangulata,SE_As,,,,T,,
Ceriagrion_azureum,SE_As,,,,T,,
Ceriagrion_bellona,SE_As,,,,T,,
Ceriagrion_calamineum,SE_As,,,,T,,
Ceriagrion_chaoi,SE_As,,,,T,,
Ceriagrion_indochinense,SE_As,,,,T,,
Ceriagrion_malaisei,SE_As,,,,T,,
Coeliccia_albicauda,SE_As,,,,T,,
Coeliccia_axinocercus,SE_As,,,,T,,
Coeliccia_borneensis,SE_As,,,,T,,
Coeliccia_cf.kazukoae,SE_As,,,,T,,
Coeliccia_chromothorax,SE_As,,,,T,,
Coeliccia_cyaneothorax,SE_As,,,,T,,
Coeliccia_didyma,SE_As,,,,T,,
Coeliccia_dinoceras,SE_As,,,,T,,
Coeliccia_flavostriata,SE_As,,,,T,,
Coeliccia_nemoricola,SE_As,,,,T,,
Coeliccia_octogesima,SE_As,,,,T,,
Coeliccia_poungyi,SE_As,,,,T,,
Elattoneura_analis,SE_As,,,,T,,
Elattoneura_aurantiaca,SE_As,,,,T,,
Elattoneura_coomansi,SE_As,,,,T,,
Igneocnemis_antoniae,SE_As,,,,T,,
Igneocnemis_atripes,SE_As,,,,T,,
Igneocnemis_flammea,SE_As,,,,T,,
Indocnemis_ambigua,SE_As,,,,T,,
Indocnemis_orang,SE_As,,,,T,,
Ischnura_foylei,SE_As,,,,T,,
Matticnemis_doi,SE_As,,,,T,,
Mortonagrion_aborense,SE_As,,,,T,,
Mortonagrion_arthuri,SE_As,,,,T,,
Pandanobasis_cantuga,SE_As,,,,T,,
Paracercion_ambiguum,SE_As,,,,T,,
Paracercion_dorothea,SE_As,,,,W,,
Pericnemis_lestoides,SE_As,,,,T,,
Pericnemis_triangularis,SE_As,,,,T,,
Prodasineura_autumnalis,SE_As,,,,T,,
Prodasineura_collaris,SE_As,,,,T,,
Prodasineura_croconota,SE_As,,,,T,,
Prodasineura_dorsalis,SE_As,,,,T,,
Prodasineura_hyperythra,SE_As,,,,T,,
Prodasineura_integra,SE_As,,,,T,,
Prodasineura_interrupta,SE_As,,,,T,,
Prodasineura_notostigma,SE_As,,,,T,,
Pseudagrion_pilidorsum,SE_As,,,,T,W,
Pseudocopera_ciliata,SE_As,,,,T,W,
Risiocnemis_appendiculata,SE_As,,,,T,,
Risiocnemis_erythrura,SE_As,,,,T,,
Risiocnemis_praeusta,SE_As,,,,T,,
Sangabasis_dentifer,SE_As,,,,T,,
Stenagrion_dubium,SE_As,,,,T,,
Teinobasis_cryptica,SE_As,,,,T,,
Teinobasis_filamenta,SE_As,,,,T,,
Teinobasis_laidlawi,SE_As,,,,T,,
Teinobasis_rajah,SE_As,,,,T,,
Teinobasis_ruficollis,SE_As,,,,T,,
Thaumatagrion_funereum,SE_As,,,,T,,
Acanthagrion_sp1,,,,,,,
Elattoneura_sp,,,,,,,
Epipleoneura_sp,,,,,,,
Ischnura_cardinalis,,,,,,,
Ischnura_intermedia,,,,,,,
Ischnura_taitensis,,,,,,,
Megalagrion_blackburni,,,,,,,
Megalagrion_calliphya,,,,,,,
Megalagrion_eudytum,,,,,,,
Megalagrion_hawaiiense,,,,,,,
Megalagrion_heterogamias,,,,,,,
Megalagrion_nigrohamatum,,,,,,,
Megalagrion_oahuense,,,,,,,
Megalagrion_oresitrophum,,,,,,,
Megalagrion_paludicola,,,,,,,
Megalagrion_vagabundum,,,,,,,
Metaleptobasis_sp,,,,,,,
Neoneura_sp,,,,,,,
Pericnemis_sp1,,,,,,,
Pericnemis_sp2,,,,,,,
Peristicta_sp,,,,,,,
Phoenicagrion_sp,,,,,,,
Phoenicagrion_spn,,,,,,,
Proplatycnemis_spn.poodle,,,,,,,
Teinobasis_aeridis,,,,,,,
Teinobasis_ariel,,,,,,,
Teinobasis_carolinensis,,,,,,,
Teinobasis_fortis,,,,,,,
Teinobasis_nigrolutea,,,,,,,
Tuberculobasis_sp,,,,,,,
