Taxon,Region_1,Region_2,Region_3,Region_4,Biome_1,Biome_2,Biome_3
Telebasis_digiticollis,C_Am,,,,T,,
Telebasis_dominicana,C_Am,,,,T,,
Telebasis_levis,C_Am,,,,T,,
Telebasis_vulnerata,C_Am,,,,T,,
Apanisagrion_lais,C_Am,N_Am,,,T,W,
Argia_cuprea,C_Am,N_Am,,,T,W,
Argia_extranea,C_Am,N_Am,,,T,W,
Argia_immunda,C_Am,N_Am,,,T,W,
Argia_lacrimans,C_Am,N_Am,,,T,W,
Argia_oenea,C_Am,N_Am,,,T,W,
Argia_pallens,C_Am,N_Am,,,T,W,
Argia_plana,C_Am,N_Am,,,T,W,C
Argia_tezpi,C_Am,N_Am,,,T,W,
Ischnura_posita,C_Am,N_Am,,,T,W,C
Neoneura_amelia,C_Am,N_Am,,,T,W,
Protoneura_cara,C_Am,N_Am,,,T,W,
Argia_translata,C_Am,N_Am,S_Am,,T,W,C
Enallagma_civile,C_Am,N_Am,S_Am,,T,W,C
Enallagma_novaehispaniae,C_Am,N_Am,S_Am,,T,W,
Ischnura_hastata,C_Am,N_Am,S_Am,,T,W,C
Ischnura_ramburii,C_Am,N_Am,S_Am,,T,W,
Nehalennia_minuta,C_Am,N_Am,S_Am,,T,W,
Neoerythromma_cultellatum,C_Am,N_Am,S_Am,,T,W,
Telebasis_salva,C_Am,N_Am,S_Am,,T,W,
Argia_adamsi,C_Am,S_Am,,,T,,
Argia_cupraurea,C_Am,S_Am,,,T,,
Argia_difficilis,C_Am,S_Am,,,T,,
Argia_indicatrix,C_Am,S_Am,,,T,,
Argia_insipida,C_Am,S_Am,,,T,,
Argia_oculata,C_Am,S_Am,,,T,,
Argia_pocomana,C_Am,S_Am,,,T,,
Argia_pulla,C_Am,S_Am,,,T,,
Argia_talamanca,C_Am,S_Am,,,T,,
Argia_variabilis,C_Am,S_Am,,,T,,
Ischnura_capreolus,C_Am,S_Am,,,T,,
Leptobasis_vacillans,C_Am,S_Am,,,T,,
Mecistogaster_linearis,C_Am,S_Am,,,T,,
Megaloprepus_caerulatus,C_Am,S_Am,,,T,,
Neoneura_esthera,C_Am,S_Am,,,T,,
Neoneura_myrthea,C_Am,S_Am,,,T,,
Protoneura_amatoria,C_Am,S_Am,,,T,,
Psaironeura_remissa,C_Am,S_Am,,,T,,
Telebasis_corallina,C_Am,S_Am,,,T,,
Telebasis_filiola,C_Am,S_Am,,,T,,
Telebasis_garleppi,C_Am,S_Am,,,T,,
Enallagma_cardenium,C_Am,N_Am,,,T,W,
Ceriagrion_nipponicum,E_As,,,,W,,
Coeliccia_flavicauda,E_As,,,,W,,
Coeliccia_ryukyuensis,E_As,,,,W,,
Coenagrion_ecornutum,E_As,,,,C,,
Coenagrion_glaciale,E_As,,,,C,,
Coenagrion_hylas,E_As,,,,W,C,
Coenagrion_lanceolatum,E_As,,,,C,,
Coenagrion_terue,E_As,,,,C,,
Enallagma_circulatum,E_As,,,,C,,
Erythromma_humerale,E_As,,,,C,,
Ischnura_asiatica,E_As,,,,W,C,
