Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
2000	-4035.31	-4058.84	23.53055	0.00843459	0.100433	0.00722552	0.0252278	0.300393	0.0216115	0.501129	1.49887	0.8121725	0.578219	1.72945	0.0168312	0.200413	0.0144185	0.0002408686	0.000240869	0.000240869	0.127737	0.105418	0.404164	0.143361	0.0535394	0.165782	0.043312	0.145758	0.0604078	0.0461438	0.155287	0.0643573	0.968344	1.03166	0.04694831	0.96883	1.03217	0.0447279	0.150523	0.0623825	0.00148869	0.00101886	0.00311385	0.00306717	0.00899171	0.00995892
2100	-4023.446	-4055.596	32.15033	0.00110555	0.0899026	0.000463537	0.00128976	0.104882	0.000540772	0.923096	1.0769	0.1142429	0.925838	1.0801	0.00119766	0.0973924	0.000502154	0.0002777669	0.000277767	0.000277767	0.114746	0.425473	0.092116	0.127867	0.21315	0.026649	0.0303588	0.144836	0.0510545	0.0372445	0.177686	0.062634	0.898146	1.10185	0.1515338	0.902842	1.10761	0.0338017	0.161261	0.0568442	0.000759469	0.00176846	0.00490246	0.00762647	0.00843219	0.00366482
2200	-4027.265	-4058.359	31.09437	0.00060123	0.0714433	0.00123285	0.00120755	0.143492	0.00247613	0.66479	1.33521	0.5169624	0.705615	1.4172	0.000904391	0.107467	0.00185449	0.001682501	0.0016825	0.0016825	0.13764	0.240571	0.252773	0.00588925	0.170804	0.192323	0.0295611	0.115929	0.0590863	0.0296051	0.116102	0.0591743	0.999256	1.00074	0.001103081	0.999256	1.00074	0.0295831	0.116015	0.0591303	0.00161143	0.00215155	0.0043151	0.00241294	0.00740512	0.00779583
2300	-4034.365	-4062.887	28.52156	0.0066663	0.0292643	0.00334292	0.010956	0.0480958	0.00549408	0.756574	1.24343	0.3682973	0.780038	1.28199	0.00881117	0.0386801	0.0044185	0.001222353	0.00122235	0.00122235	0.234899	0.0237019	0.035057	0.120514	0.557882	0.0279461	0.011019	0.0361635	0.02071	0.0330073	0.108328	0.0620367	0.500563	1.49944	0.8132895	0.577784	1.73075	0.0220131	0.0722456	0.0413733	0.00146383	0.00124342	0.00578726	0.00776302	0.00723125	0.00300655
2400	-4021.852	-4056.612	34.76074	0.00183049	0.0792072	1.12955e-06	0.00191933	0.0830512	1.18437e-06	0.976309	1.02369	0.03513044	0.976583	1.02398	0.00187491	0.0811292	1.15696e-06	0.000489248	0.000489248	0.000489248	0.0991894	0.306613	0.011694	0.201032	0.244822	0.136649	0.0152865	0.0604593	0.0190938	0.0357534	0.141407	0.0446581	0.599003	1.401	0.6298631	0.653877	1.52934	0.02552	0.100933	0.0318759	0.00130594	0.00308112	0.00340993	0.00962624	0.00835064	0.00412318
2500	-4022.106	-4052.409	30.3028	0.00485198	0.0388226	9.0619e-06	0.00949247	0.075953	1.77288e-05	0.676496	1.3235	0.4974965	0.71494	1.39872	0.00717223	0.0573878	1.33954e-05	0.0001773578	0.000177358	0.000177358	0.00286925	0.172496	0.00610311	0.190533	0.57872	0.0492788	0.0107389	0.0300608	0.0116364	0.0429242	0.120155	0.0465116	0.400234	1.59977	1.02712	0.500183	1.99927	0.0268316	0.075108	0.029074	0.00119681	0.002324	0.00555772	0.0100109	0.00915029	0.0018827
2600	-4032.853	-4049.858	17.00445	0.00124577	0.0469362	0.000118073	0.00187697	0.0707177	0.000177898	0.797869	1.20213	0.3038638	0.814686	1.22747	0.00156137	0.0588269	0.000147986	0.003002041	0.00300204	0.00300204	0.0325902	0.407289	0.0685979	0.191673	0.0402268	0.259624	0.0117737	0.0416632	0.0200551	0.0344607	0.121945	0.0586997	0.509306	1.49069	0.7961197	0.584514	1.71082	0.0231172	0.081804	0.0393774	0.00369066	0.00389001	0.00484079	0.00848126	0.00842431	0.00786595
2700	-4020.827	-4060.147	39.32001	8.71081e-07	0.0238078	0.00273329	2.11359e-06	0.0577673	0.00663205	0.583703	1.4163	0.6570953	0.641976	1.55769	1.49233e-06	0.0407876	0.00468267	0.0006703667	0.000670367	0.000670367	0.0857569	0.112206	0.0942597	0.13013	0.273271	0.304376	0.0223004	0.0637525	0.0320275	0.0399168	0.114114	0.0573278	0.716857	1.28314	0.4315796	0.747444	1.33789	0.0311086	0.0889334	0.0446777	3.57169e-05	0.00434341	0.00710534	0.000979083	0.00568623	0.00682428
2800	-4026.341	-4051.502	25.16074	0.000174947	0.0165452	2.23167e-06	0.00111493	0.105442	1.42223e-05	0.271262	1.72874	1.372937	0.396123	2.52447	0.000644939	0.0609934	8.227e-06	0.0008074332	0.000807433	0.000807433	0.175753	0.28733	0.272084	0.106082	0.115944	0.0428064	0.0104125	0.0453208	0.0154137	0.0357195	0.155471	0.0528758	0.451422	1.54858	0.9137949	0.539914	1.85215	0.023066	0.100396	0.0341448	0.00251815	0.0041473	0.00580212	0.00944781	0.00583302	0.00664598
2900	-4013.829	-4056.503	42.67352	8.38901e-07	0.0601252	6.80443e-06	1.22406e-06	0.08773	9.92848e-06	0.813299	1.1867	0.2800891	0.827855	1.20794	1.03148e-06	0.0739276	8.36645e-06	6.065866e-05	6.06587e-05	6.06587e-05	0.0650917	0.0911134	0.0123762	0.20911	0.0348928	0.587416	0.0076098	0.0294951	0.0116581	0.0342137	0.13261	0.0524147	0.363901	1.6361	1.114315	0.471614	2.12038	0.0209117	0.0810525	0.0320364	9.77418e-05	0.00316985	0.00604197	0.00884486	0.0064135	0.00335966
