Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	extinction_observed[3]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	speciation_observed[3]	transition_rates[1]	transition_rates[2]	transition_rates[3]	transition_rates[4]	transition_rates[5]	transition_rates[6]
3500	64.26726	0	64.26726	6.53168	3.72995e-06	0.0018378	13.374	7.63731e-06	0.00376302	0.656262	1.34374	0.5312541	0.698846	1.43093	9.95285	5.68363e-06	0.00280041	0.0005674338	0.000567434	0.000567434	0.0346237	0.213641	0.158689	0.188128	0.124925	0.279993	0.1894	0.00115443	8.14016e-05	0.210331	0.00128201	9.03975e-05	0.947637	1.05236	0.07770463	0.948939	1.05381	0.199865	0.00121822	8.58996e-05	0.00115064	0.000438177	0.000712964	0.000732451	0.00146938	5.06397e-06
3600	77.76561	0	77.76561	0.000208905	1.82549e-05	0.00444038	0.000269772	2.35737e-05	0.00573414	0.872843	1.12716	0.1895492	0.879986	1.13638	0.000239339	2.09143e-05	0.00508726	0.002397671	0.00239767	0.00239767	0.287697	0.589432	0.0179234	0.0463866	0.0144236	0.0441377	0.00230995	3.5496e-06	0.000178366	0.0133283	2.0481e-05	0.00102916	0.295423	1.70458	1.299251	0.416307	2.40207	0.00781913	1.20153e-05	0.000603763	0.000151791	0.000320443	0.00139899	5.92974e-05	0.000178349	0.000300279
3700	84.35452	0	84.35452	0.000465346	76.037	7.84952e-06	0.000654294	106.911	1.10367e-05	0.831243	1.16876	0.2526166	0.843338	1.18576	0.00055982	91.4738	9.44311e-06	0.0002102246	0.000210225	0.000210225	0.0149814	0.383061	0.00166455	0.14122	0.114615	0.344458	1.10141e-05	2.88129e-05	1.2861e-06	1.10154e-05	2.88164e-05	1.28626e-06	0.999939	1.00006	9.033887e-05	0.999939	1.00006	1.10148e-05	2.88146e-05	1.28618e-06	5.19467e-05	0.00152	9.49655e-06	0.000368706	0.000509939	0.000220083
3800	84.29124	0	84.29124	1.18623e-06	3.89331e-07	1.40557e-06	6.33711e-06	2.07989e-06	7.50885e-06	0.315347	1.68465	1.242154	0.432653	2.31132	3.76167e-06	1.23461e-06	4.45721e-06	0.0003757057	0.000375706	0.000375706	0.00351329	0.108416	0.0624634	0.296631	0.318652	0.210324	3.83055e-05	0.000356384	7.07733	8.66145e-05	0.000805837	16.0029	0.613281	1.38672	0.6048076	0.665021	1.50371	6.246e-05	0.000581111	11.5401	0.000218873	0.000875342	4.8486e-05	0.000859213	0.000167325	0.000710032
3900	59.64263	0	59.64263	2.53187e-06	0.014399	0.394708	3.63082e-06	0.0206489	0.56603	0.821676	1.17832	0.2672404	0.835061	1.19752	3.08135e-06	0.017524	0.480369	0.0004738936	0.000473894	0.000473894	0.18154	0.256847	0.0585078	0.00486833	0.13216	0.366076	0.00760855	0.36003	5.04739e-05	0.0102541	0.485217	6.80243e-05	0.851893	1.14811	0.2212104	0.861393	1.16091	0.00893134	0.422624	5.92491e-05	0.00142174	8.19717e-05	0.00470026	0.00069033	0.000350982	0.00063738
4000	52.94522	0	52.94522	2.87947e-06	72.5758	4.54642	3.00665e-06	75.7814	4.74723	0.978392	1.02161	0.03204032	0.978621	1.02185	2.94306e-06	74.1786	4.64682	0.001370208	0.00137021	0.00137021	0.438788	0.22325	0.146881	0.0303069	0.133127	0.027647	3.76084e-06	0.00102181	7.64892	4.53935e-06	0.00123333	9.23227	0.906206	1.09379	0.1394688	0.910219	1.09864	4.1501e-06	0.00112757	8.44059	0.0013043	0.00159873	0.00072451	0.00143048	0.000511681	0.000184762
4100	71.97601	0	71.97601	0.303232	8.88319e-06	0.00193313	0.442693	1.29687e-05	0.00282221	0.813036	1.18696	0.2804918	0.82763	1.20827	0.372962	1.09259e-05	0.00237767	0.0005763238	0.000576324	0.000576324	0.17684	0.00419824	0.560512	0.0929279	0.00628055	0.159241	0.0105762	2.20401e-06	0.00111056	0.0161429	3.36407e-06	0.0016951	0.791658	1.20834	0.3134769	0.80942	1.23545	0.0133595	2.78404e-06	0.00140283	3.50606e-05	0.000372129	0.00151871	0.00108625	0.000371714	0.00196459
4200	75.05326	0	75.05326	0.000512045	3.84526e-05	0.0120456	0.000893042	6.7064e-05	0.0210084	0.728845	1.27116	0.412327	0.757213	1.32063	0.000702544	5.27583e-05	0.016527	0.0003367879	0.000336788	0.000336788	0.142878	0.0181733	0.0436537	0.00428178	0.391201	0.399812	1.01635e-05	0.0279967	0.00335684	1.13128e-05	0.0311628	0.00373646	0.946483	1.05352	0.07942101	0.947841	1.05503	1.07381e-05	0.0295798	0.00354665	0.000816533	0.000815059	0.000324536	0.000514287	0.00051559	0.000132306
4300	67.77264	0	67.77264	6.89694e-05	0.59434	1.30125	0.000217073	1.87062	4.09553	0.482232	1.51777	0.8499546	0.56367	1.77409	0.000143021	1.23248	2.69839	0.0006153883	0.000615388	0.000615388	0.193065	0.00954708	0.15182	0.239135	0.0675136	0.338918	0.00338449	2.54865e-05	2.42996e-06	0.00821355	6.18512e-05	5.89707e-06	0.583631	1.41637	0.6572244	0.64192	1.55783	0.00579902	4.36689e-05	4.16351e-06	1.75951e-06	0.000189611	0.000141186	0.000436798	0.000379002	0.000894921
4400	44.744	0	44.744	5.03337e-05	1.18858	0.000887938	9.93017e-05	2.34492	0.00175178	0.672751	1.32725	0.5037055	0.711952	1.40459	7.48177e-05	1.76675	0.00131986	0.004397611	0.00439761	0.00439761	0.221002	0.021878	0.067293	0.114966	0.502187	0.0726747	0.000421086	18.0465	13.6053	0.000702862	30.1225	22.7095	0.749298	1.2507	0.3797862	0.774017	1.29196	0.000561974	24.0845	18.1574	0.000715678	7.07501e-06	0.000299244	0.000567706	0.00110398	4.38803e-05
