Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
57	1	-300.653	-311.4069	10.75389	1	0	0	1	0.003561017	0.003561017	0.004027115	0.009162791	0.003336096	1.825015e-05	0.005975907	0.005975907	0.406045	0.276843	0.0956031	0.221509
58	0	-288.8966	-313.6045	24.70795	1	0	0	0	0.005039947	0.005039947	0.001421252	0.008243933	0.001925909	0.0001685277	0.0007843774	0.002646876	0.514157	0.12663	0.350627	0.00858621
59	1	-301.8873	-302.78	0.8926409	1	0	1	1	0.00325736	0.00325736	0.002055987	0.01252977	0.003545417	0.003545417	0.007064553	0.007064553	0.280041	0.41637	0.293057	0.010532
60	0	-295.4379	-309.3769	13.93898	1	0	0	1	0.004873308	0.004873308	0.002737216	0.008533858	0.003334093	0.0001012724	0.003794453	0.003794453	0.68744	0.0764353	0.0438923	0.192232
61	1	-295.2873	-313.7151	18.42783	1	0	0	1	0.00375483	0.00375483	0.001980832	0.007714976	0.001503091	0.0007884161	0.003817022	0.003817022	0.362194	0.490478	0.0210385	0.12629
62	0	-304.9069	-317.1297	12.22283	1	0	1	1	0.002367968	0.002367968	0.001799854	0.0103432	0.00259343	0.00259343	0.00171922	0.00171922	0.152881	0.236243	0.501508	0.109367
63	1	-302.8077	-305.7524	2.944666	1	0	1	1	0.003590154	0.003590154	0.002730583	0.009454817	0.003682268	0.003682268	0.007251267	0.007251267	0.599292	0.0108908	0.201023	0.188795
64	0	-296.4783	-305.2207	8.742364	1	0	1	0	0.004275122	0.004275122	0.001113367	0.01104962	0.002692876	0.002692876	0.0004661044	0.008193663	0.150625	0.229387	0.331506	0.288483
65	1	-296.7599	-311.298	14.53808	0	0	1	1	0.004653607	0.002015563	0.001653819	0.01026539	0.00241683	0.00241683	0.001859826	0.001859826	0.36389	0.051485	0.475257	0.109368
66	0	-301.798	-305.2574	3.459399	1	0	1	1	0.003855921	0.003855921	0.00105943	0.01637144	0.00230445	0.00230445	0.002680382	0.002680382	0.756678	0.164161	0.0595819	0.0195788
67	1	-300.0556	-315.5094	15.45381	0	0	1	1	0.003131029	0.002132064	0.002676416	0.0101246	0.001255899	0.001255899	0.002766752	0.002766752	0.353233	0.535795	0.055171	0.0558016
68	0	-289.5776	-314.7163	25.13869	1	0	0	0	0.004846059	0.004846059	0.001856242	0.008095789	0.001121775	0.0006153721	0.0005133626	0.002816146	0.48283	0.129266	0.357732	0.0301711
69	1	-303.4495	-309.7279	6.278427	1	0	1	1	0.002823083	0.002823083	0.002403399	0.01125077	0.001774816	0.001774816	0.005623696	0.005623696	0.14066	0.654102	0.00743105	0.197807
70	0	-298.361	-308.4406	10.07959	0	0	1	1	0.002685698	0.0001384947	0.001585893	0.00997009	0.003658772	0.003658772	0.008615308	0.008615308	0.107039	0.219086	0.381665	0.29221
71	1	-296.213	-305.4971	9.284128	0	0	0	1	0.002662046	0.001512938	0.001111468	0.01317265	0.003032372	0.004817401	0.0070305	0.0070305	0.365737	0.32677	0.121877	0.185616
72	0	-305.5153	-297.8883	-7.626998	1	0	1	1	0.004322511	0.004322511	0.001323628	0.01577963	0.002888146	0.002888146	0.01137992	0.01137992	0.231333	0.285142	0.332934	0.150591
73	1	-291.4771	-306.2276	14.75052	1	0	0	0	0.004334471	0.004334471	0.001368884	0.01447556	0.004795222	0.0008670549	0.0006488224	0.002203533	0.428287	0.322801	0.186972	0.0619409
74	0	-296.015	-312.9661	16.95106	1	0	1	0	0.002835913	0.002835913	0.001259968	0.008825149	0.003055868	0.003055868	0.0008073939	0.004029968	0.139589	0.644266	0.112823	0.103322
75	1	-303.889	-300.8429	-3.046156	1	0	1	1	0.004274769	0.004274769	0.002135672	0.01773547	0.001739087	0.001739087	0.005915637	0.005915637	0.614606	0.256733	0.116768	0.0118928
76	0	-288.8223	-313.6921	24.86977	1	0	0	0	0.004513303	0.004513303	0.001373473	0.01022622	0.001212023	0.0003365629	0.0003677509	0.002063963	0.321207	0.276014	0.385916	0.0168635
77	1	-295.0686	-316.2881	21.21956	1	0	0	0	0.003874528	0.003874528	0.001022014	0.01016802	0.004151524	0.002669643	0.0005193568	0.0007904871	0.129584	0.0598769	0.31935	0.491189
78	0	-300.9023	-311.4205	10.51812	1	0	1	1	0.004645988	0.004645988	0.001327182	0.009811053	0.002328445	0.002328445	0.002159816	0.002159816	0.22209	0.313468	0.111571	0.352871
79	1	-295.8494	-306.6113	10.76189	1	0	0	1	0.004400327	0.004400327	0.001572968	0.009737086	0.004905603	0.001940324	0.003518064	0.003518064	0.385882	0.243751	0.0452445	0.325123
80	0	-292.3072	-303.9301	11.62282	0	0	0	1	0.003163049	0.000293016	0.001072054	0.01362688	0.001387318	0.002467357	0.009342067	0.009342067	0.561086	0.146171	0.0907386	0.202004
81	1	-295.5647	-312.7379	17.17325	1	0	0	1	0.005099626	0.005099626	0.001331967	0.008058307	0.002519332	3.981515e-05	0.00357638	0.00357638	0.246592	0.305663	0.0906183	0.357127
82	0	-293.6324	-311.2928	17.66036	1	0	1	0	0.003767606	0.003767606	0.001580827	0.008196112	0.002066322	0.002066322	0.0001727558	0.00442781	0.370224	0.520958	0.0939637	0.0148545
83	1	-294.2528	-309.0414	14.78864	0	0	1	1	0.003837203	0.0002914543	0.0006821371	0.009958914	0.003120887	0.003120887	0.004761484	0.004761484	0.647367	0.20598	0.138055	0.00859846
84	0	-301.4174	-300.6437	-0.7736108	1	0	1	1	0.004276562	0.004276562	0.002068365	0.01167663	0.003966224	0.003966224	0.007881437	0.007881437	0.709237	0.16589	0.116009	0.00886346
85	1	-297.1906	-300.8134	3.622748	1	0	0	1	0.004377092	0.004377092	0.002210216	0.01399946	0.004417796	0.001970347	0.005166946	0.005166946	0.644807	0.277031	0.03211	0.0460513
86	0	-300.4815	-310.8943	10.41285	1	0	1	1	0.004198391	0.004198391	0.001122951	0.008419102	0.00270437	0.00270437	0.00391714	0.00391714	0.248472	0.00234054	0.682672	0.0665158
87	1	-297.3223	-309.9048	12.58243	1	0	0	1	0.003013692	0.003013692	0.00155817	0.008880219	0.00435344	0.002852151	0.003869447	0.003869447	0.334957	0.293569	0.250223	0.121251
88	0	-301.6726	-308.0767	6.404098	1	0	1	1	0.004110479	0.004110479	0.002261654	0.008614318	0.001861748	0.001861748	0.006920755	0.006920755	0.346236	0.181968	0.0136623	0.458134
89	1	-295.2156	-311.0436	15.82795	1	0	0	1	0.004107249	0.004107249	0.002023482	0.009495831	0.001700634	0.0009965683	0.003445018	0.003445018	0.155566	0.00103366	0.353567	0.489833
90	0	-296.7183	-309.9888	13.27048	1	0	0	1	0.003339707	0.003339707	0.001681367	0.00844797	0.002062385	0.003054605	0.005356317	0.005356317	0.408367	0.175778	0.356806	0.0590491
91	1	-295.6881	-310.6157	14.92759	1	0	0	1	0.004898139	0.004898139	0.001321987	0.01141619	0.001000411	0.0003377001	0.003559569	0.003559569	0.240652	0.0192573	0.417952	0.322139
92	0	-299.8823	-311.2927	11.41033	1	0	1	1	0.004365276	0.004365276	0.001346637	0.009268783	0.002190447	0.002190447	0.002343061	0.002343061	0.447393	0.139609	0.162745	0.250253
93	1	-299.4835	-311.3875	11.90398	1	0	1	1	0.003345091	0.003345091	0.001562405	0.009689445	0.001894727	0.001894727	0.002602991	0.002602991	0.618356	0.0712294	0.14842	0.161994
94	0	-301.2011	-307.6366	6.435497	1	0	1	1	0.004367184	0.004367184	0.001166317	0.01017444	0.003823426	0.003823426	0.004210898	0.004210898	0.102785	0.163744	0.51757	0.215901
95	1	-300.4887	-303.1561	2.667306	1	0	1	1	0.003496371	0.003496371	0.001317698	0.01403235	0.002389655	0.002389655	0.005708743	0.005708743	0.28731	0.449945	0.0106431	0.252102
96	0	-301.9328	-307.8722	5.939419	1	0	1	1	0.00504085	0.00504085	0.001575518	0.01234239	0.002433721	0.002433721	0.002771403	0.002771403	0.110768	0.300766	0.286092	0.302374
97	1	-287.3929	-308.3665	20.97357	0	0	1	0	0.00461408	0.0001269269	0.001265933	0.01263855	0.002572079	0.002572079	0.000116573	0.002070498	0.445863	0.0491084	0.245242	0.259786
98	0	-300.4934	-308.5887	8.095302	1	0	1	1	0.00314403	0.00314403	0.001519591	0.008792432	0.003240551	0.003240551	0.005635013	0.005635013	0.360088	0.290362	0.0570753	0.292475
99	1	-302.653	-298.101	-4.551986	1	0	0	1	0.003949054	0.003949054	0.002420936	0.01541967	0.003387326	2.897935e-05	0.01388352	0.01388352	0.527664	0.140836	0.144552	0.186948
100	0	-295.013	-305.9952	10.98217	0	0	1	1	0.003220303	0.0008109441	0.001292447	0.01060911	0.003893801	0.003893801	0.006060552	0.006060552	0.308082	0.334863	0.106621	0.250433
101	1	-297.3205	-303.0087	5.688247	0	0	1	1	0.004791487	0.001690655	0.001327885	0.01135788	0.002901827	0.002901827	0.008316686	0.008316686	0.248376	0.0880647	0.242054	0.421505
102	0	-295.3822	-307.404	12.02184	0	0	1	1	0.00431643	0.0008894127	0.002116594	0.00997854	0.00214517	0.00214517	0.005557413	0.005557413	0.397369	0.187284	0.112515	0.302833
103	1	-299.7417	-304.924	5.182334	1	0	1	1	0.004734918	0.004734918	0.001359066	0.01187032	0.002339523	0.002339523	0.004503495	0.004503495	0.331994	0.17518	0.0879527	0.404874
104	0	-293.215	-309.3786	16.16351	1	0	0	0	0.005292714	0.005292714	0.001309213	0.009872432	0.001997104	0.001646847	0.003189059	0.004185291	0.189459	0.138057	0.341786	0.330699
105	1	-295.0451	-305.8054	10.76034	1	0	1	0	0.003375388	0.003375388	0.001752978	0.01218325	0.001619175	0.001619175	0.001300846	0.005844058	0.592258	0.0484225	0.100466	0.258853
106	0	-292.9183	-304.5774	11.65912	1	0	1	0	0.003803505	0.003803505	0.001232053	0.01279824	0.002836483	0.002836483	0.0004221537	0.004219397	0.479624	0.209633	0.0597895	0.250953
107	1	-295.0494	-306.6424	11.59305	1	0	0	1	0.004382453	0.004382453	0.001865628	0.008329764	0.003879619	0.0003957334	0.006514787	0.006514787	0.463666	0.00776557	0.0967872	0.431781
108	0	-301.1525	-305.0375	3.884919	1	0	1	1	0.004331091	0.004331091	0.001749473	0.01182175	0.003644664	0.003644664	0.004362998	0.004362998	0.10702	0.38791	0.243311	0.261759
109	1	-298.0808	-306.3538	8.27297	0	0	1	1	0.004343976	0.002400464	0.0009469262	0.014572	0.001352435	0.001352435	0.004573886	0.004573886	0.391452	0.105161	0.436378	0.0670091
110	0	-298.7376	-302.2481	3.510512	1	0	0	1	0.00476422	0.00476422	0.001578518	0.01120196	0.006659049	0.0004230047	0.007610492	0.007610492	0.260313	0.159248	0.226831	0.353608
