Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
6200	-300.4273	-308.5681	8.140808	1	0	1	1	0.004827839	0.004827839	0.001946613	0.009974818	0.002009713	0.002009713	0.003533958	0.003533958	0.332075	0.369992	0.186123	0.11181
6300	-301.1101	-307.9519	6.841763	1	0	1	1	0.004488228	0.004488228	0.00121412	0.01256892	0.002699939	0.002699939	0.002425778	0.002425778	0.158416	0.50108	0.256774	0.0837297
6400	-299.518	-308.2857	8.767769	1	0	1	1	0.004502911	0.004502911	0.001401583	0.009028586	0.002697556	0.002697556	0.004129456	0.004129456	0.410177	0.133755	0.210544	0.245524
6500	-299.9811	-306.1978	6.216723	1	0	1	1	0.003691751	0.003691751	0.002013169	0.009909527	0.00310123	0.00310123	0.005212524	0.005212524	0.329891	0.0998696	0.150349	0.41989
6600	-304.5519	-314.865	10.31305	1	0	1	1	0.002660098	0.002660098	0.0007226645	0.01070162	0.004278745	0.004278745	0.002083645	0.002083645	0.296434	0.034014	0.65952	0.0100323
6700	-299.2921	-322.7908	23.4987	0	0	0	1	0.003974552	0.002850061	0.002819807	0.004642731	0.002499066	0.00104758	0.003424752	0.003424752	0.742215	0.140111	0.0877759	0.0298984
6800	-288.4609	-305.9229	17.46192	1	0	0	0	0.004402798	0.004402798	0.001562422	0.01308799	0.001689686	0.0006512129	0.0007923904	0.004202656	0.373025	0.0507137	0.114638	0.461624
6900	-300.0566	-303.2528	3.196212	1	0	1	1	0.004542323	0.004542323	0.001619866	0.01230753	0.002167894	0.002167894	0.005857696	0.005857696	0.318979	0.0674395	0.150443	0.463138
7000	-295.7707	-306.5022	10.73154	1	0	0	1	0.005003342	0.005003342	0.001574643	0.009024212	0.003217422	0.0005984814	0.006682069	0.006682069	0.283509	0.375661	0.157122	0.183708
7100	-303.4472	-305.2939	1.8467	1	0	1	1	0.005803812	0.005803812	0.001551012	0.01359631	0.002771977	0.002771977	0.003919131	0.003919131	0.173996	0.150714	0.168393	0.506897
7200	-289.6795	-304.9776	15.29807	0	0	1	0	0.004142256	0.001356388	0.0008639876	0.01428556	0.00313461	0.00313461	0.001074197	0.003371192	0.660847	0.0754618	0.156388	0.107303
7300	-294.9719	-307.9026	12.93067	1	0	0	1	0.004075586	0.004075586	0.001666873	0.009467654	0.002703571	0.00175444	0.004563022	0.004563022	0.182446	0.329	0.403523	0.085032
7400	-299.9377	-303.1793	3.241616	1	0	1	1	0.004908115	0.004908115	0.001465152	0.01050822	0.00377075	0.00377075	0.005804482	0.005804482	0.892097	0.0200088	0.0660333	0.021861
7500	-292.304	-307.307	15.00297	0	0	0	1	0.004022953	0.004574179	0.001889875	0.009828786	0.002399392	0.0007777658	0.004986039	0.004986039	0.202738	0.0591686	0.554011	0.184083
7600	-301.3299	-311.3869	10.05701	1	0	1	1	0.004541926	0.004541926	0.001613459	0.008215044	0.002163061	0.002163061	0.004130886	0.004130886	0.122	0.526007	0.0702218	0.281772
