Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
51	1	-306.7305	-311.9676	5.237067	1	0	1	1	0.003463712	0.003463712	0.0001721563	0.007434657	0.006192235	0.006192235	0.00824051	0.00824051	0.370017	0.275753	0.330747	0.0234834
52	0	-303.4741	-316.6108	13.13673	1	0	1	1	0.002831939	0.002831939	7.048124e-05	0.005305958	0.005979449	0.005979449	0.004357665	0.004357665	0.0119467	0.041787	0.905933	0.0403334
53	1	-298.6775	-319.3566	20.67911	0	0	1	1	0.001314726	0.00036956	0.0004832402	0.005449928	0.006436924	0.006436924	0.004043978	0.004043978	0.199816	0.264762	0.314251	0.22117
54	0	-304.3971	-317.1832	12.78612	1	0	1	1	0.001576936	0.001576936	7.075696e-05	0.007336744	0.005975468	0.005975468	0.00389439	0.00389439	0.0272411	0.165634	0.774506	0.0326194
55	1	-305.7481	-310.7394	4.99125	1	0	1	1	0.001872526	0.001872526	0.0001214255	0.006519587	0.008330176	0.008330176	0.008876065	0.008876065	0.0420903	0.477147	0.398033	0.0827295
56	0	-299.8628	-320.6403	20.77751	1	0	1	0	0.0006068012	0.0006068012	2.572467e-05	0.005319857	0.006754916	0.006754916	0.0006130227	0.00469136	0.472504	0.110096	0.350482	0.0669172
57	1	-305.1768	-316.4373	11.26042	1	0	1	1	0.002491335	0.002491335	3.588732e-05	0.004582147	0.008012773	0.008012773	0.00507594	0.00507594	0.498599	0.0626019	0.284925	0.153874
58	0	-297.5631	-317.143	19.5799	0	0	1	1	0.001960593	0.0008342237	1.472815e-06	0.004754772	0.006672703	0.006672703	0.004842736	0.004842736	0.0065338	0.102748	0.272316	0.618402
59	1	-301.1076	-311.9206	10.81293	0	0	1	1	0.001075808	0.001505146	0.0001002031	0.004013225	0.008210026	0.008210026	0.01188377	0.01188377	0.473647	0.0280395	0.460351	0.0379618
60	0	-299.6774	-319.9959	20.31843	1	0	1	0	0.0008231297	0.0008231297	0.000157783	0.005122728	0.005988243	0.005988243	0.0002206523	0.006103493	0.0883392	0.0690081	0.356085	0.486568
61	1	-306.6468	-318.8432	12.19641	1	0	1	1	0.002234833	0.002234833	0.0007246131	0.004996832	0.00530486	0.00530486	0.006112555	0.006112555	0.599158	0.0160185	0.255391	0.129432
62	0	-299.4386	-316.7472	17.30854	0	0	1	1	0.0007237655	0.001197265	0.000161501	0.003536571	0.006287796	0.006287796	0.009160149	0.009160149	0.39143	0.0772982	0.41914	0.112132
63	1	-303.9934	-313.9877	9.994345	1	0	1	1	0.001269581	0.001269581	0.0002336152	0.005921412	0.006303845	0.006303845	0.007584753	0.007584753	0.235095	0.0850118	0.274461	0.405433
64	0	-300.7496	-320.0563	19.30673	1	0	1	0	0.001041034	0.001041034	6.259245e-05	0.004382113	0.007612996	0.007612996	0.00125949	0.00494888	0.531567	0.0765014	0.35264	0.0392911
65	1	-303.9286	-313.1089	9.180302	1	0	1	1	0.00143625	0.00143625	0.000192427	0.005305565	0.007128769	0.007128769	0.007967178	0.007967178	0.0879007	0.58253	0.260296	0.069273
66	0	-299.2366	-319.2655	20.02894	0	0	1	1	0.001134276	0.001289981	3.322362e-05	0.003835814	0.005308011	0.005308011	0.0070697	0.0070697	0.295743	0.210814	0.334948	0.158495
67	1	-305.6399	-314.8629	9.222956	1	0	1	1	0.000523608	0.000523608	0.0001963926	0.004275812	0.006369227	0.006369227	0.01062758	0.01062758	0.104794	0.421722	0.367483	0.106001
68	0	-296.5398	-316.0278	19.48798	0	0	1	1	0.002437518	0.0001837244	3.221404e-05	0.004872735	0.005858681	0.005858681	0.005762591	0.005762591	0.112549	0.310671	0.539712	0.0370679
69	1	-303.7547	-314.9456	11.19088	1	0	1	1	0.001953747	0.001953747	0.0001884667	0.005916959	0.007046797	0.007046797	0.005153364	0.005153364	0.329655	0.22166	0.399124	0.04956
70	0	-300.482	-316.7455	16.26354	0	0	1	1	0.003680491	0.0005003609	0.0005083225	0.005898535	0.006837822	0.006837822	0.004561923	0.004561923	0.125956	0.172589	0.503915	0.19754
71	1	-307.3767	-312.1004	4.723726	1	0	1	1	0.001997625	0.001997625	0.0001356607	0.00407367	0.006868333	0.006868333	0.01288012	0.01288012	0.222534	0.0965429	0.0945594	0.586364
72	0	-299.0106	-313.0443	14.0337	0	0	0	1	0.001913694	0.002304464	2.764281e-05	0.005568019	0.007078814	0.002595439	0.01065931	0.01065931	0.027051	0.0240229	0.597456	0.35147
73	1	-300.0829	-316.2799	16.19698	0	0	1	1	0.0005697455	0.000283205	0.00067408	0.006779969	0.006533523	0.006533523	0.007205558	0.007205558	0.0930817	0.115656	0.503966	0.287296
74	0	-305.7736	-318.3127	12.53907	1	0	1	1	0.002507996	0.002507996	0.000157815	0.003550322	0.005545999	0.005545999	0.007309755	0.007309755	0.0558563	0.0891003	0.366583	0.488461
75	1	-305.8443	-321.9646	16.1203	1	0	1	1	0.002139822	0.002139822	0.0001442233	0.004297824	0.006646325	0.006646325	0.002689463	0.002689463	0.171906	0.0544246	0.576733	0.196936
76	0	-299.2858	-319.049	19.76321	0	0	1	1	0.002182151	0.0004101636	0.0001478152	0.003292532	0.005995868	0.005995868	0.006876522	0.006876522	0.512002	0.0077869	0.371735	0.108476
77	1	-305.0085	-318.4019	13.39342	1	0	1	1	0.0009808609	0.0009808609	0.0004171892	0.004567666	0.006539874	0.006539874	0.005813817	0.005813817	0.186678	0.438974	0.22686	0.147487
78	0	-301.6329	-320.864	19.23108	0	0	1	1	0.003800619	0.0007188277	0.0001600946	0.003541483	0.005680323	0.005680323	0.005472386	0.005472386	0.0979824	0.136404	0.572135	0.193478
79	1	-298.3794	-314.5963	16.21692	0	0	1	1	0.001222098	0.0003715035	0.0002792224	0.006565202	0.007413967	0.007413967	0.00617652	0.00617652	0.413654	0.139042	0.345162	0.102141
