Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
4000	-305.3205	-312.8821	7.561603	1	0	1	1	0.001010448	0.001010448	0.0002754327	0.007041366	0.006347416	0.006347416	0.008781229	0.008781229	0.220218	0.282699	0.415364	0.0817188
4100	-299.9819	-313.1669	13.18504	0	0	1	1	0.0008422103	0.0008214016	0.0005703529	0.005395208	0.006004526	0.006004526	0.0110652	0.0110652	0.265876	0.156263	0.573449	0.00441143
4200	-307.2388	-319.397	12.15828	1	0	1	1	0.001529061	0.001529061	0.0003535322	0.003295041	0.004959263	0.004959263	0.009270377	0.009270377	0.420538	0.1143	0.454842	0.0103208
4300	-306.8027	-317.1208	10.3181	1	0	1	1	0.001211557	0.001211557	0.0004344344	0.003278318	0.008371489	0.008371489	0.007732257	0.007732257	0.00281036	0.103275	0.893397	0.000518011
4400	-306.6982	-315.8186	9.120433	1	0	1	1	0.003139486	0.003139486	9.218741e-05	0.003940656	0.007397945	0.007397945	0.007512646	0.007512646	0.732071	0.152733	0.0975939	0.0176027
4500	-294.1374	-322.0297	27.89231	0	0	1	0	0.002242788	0.0008513077	8.298731e-05	0.005000631	0.006309462	0.006309462	0.0004880469	0.00296593	0.03686	0.293254	0.464424	0.205462
4600	-304.1006	-312.7562	8.655574	1	0	1	1	0.001077059	0.001077059	9.243189e-06	0.003883351	0.007573045	0.007573045	0.009949656	0.009949656	0.0878384	0.178985	0.705409	0.0277669
4700	-306.6563	-315.0972	8.440883	1	0	1	1	0.001015443	0.001015443	0.0009959291	0.005636226	0.00766256	0.00766256	0.007371289	0.007371289	0.0602514	0.224461	0.582927	0.132361
4800	-302.3999	-317.0276	14.62769	0	0	1	1	0.001035944	0.002643537	8.024679e-07	0.006200545	0.008684679	0.008684679	0.004862754	0.004862754	0.116956	0.303103	0.169211	0.41073
4900	-300.9662	-311.8401	10.87393	0	0	1	1	0.0005258245	0.001767645	0.000117304	0.005684272	0.006216382	0.006216382	0.01242303	0.01242303	0.192519	0.0865164	0.57503	0.145934
5000	-299.4412	-312.7436	13.30245	0	0	1	1	0.002610565	0.0005085247	0.0001263831	0.004897365	0.005875239	0.005875239	0.01057741	0.01057741	0.31997	0.0351688	0.188856	0.456005
5100	-307.0219	-320.1226	13.1007	1	0	1	1	0.001260818	0.001260818	8.523417e-05	0.002612475	0.00693249	0.00693249	0.007686211	0.007686211	0.409113	0.168368	0.341755	0.0807642
5200	-297.8015	-318.5496	20.74812	0	0	1	1	0.002492737	0.0004163938	0.0001531976	0.005321063	0.00611295	0.00611295	0.003541234	0.003541234	0.298647	0.0333683	0.657761	0.0102231
5300	-298.8559	-315.1183	16.26243	0	0	1	1	0.001835193	0.001415873	9.15751e-05	0.00425687	0.005704097	0.005704097	0.008684826	0.008684826	0.122977	0.167675	0.286669	0.422679
5400	-307.2619	-311.5822	4.320298	1	0	1	1	0.001654109	0.001654109	0.0004302809	0.006752123	0.006492275	0.006492275	0.01098194	0.01098194	0.00216973	0.22803	0.141764	0.628036
5500	-307.5644	-323.1616	15.59718	1	0	1	1	0.001620494	0.001620494	1.638424e-05	0.007418914	0.005347778	0.005347778	0.001974831	0.001974831	0.0985304	0.389065	0.496032	0.0163723
5600	-302.9123	-325.2058	22.29347	0	0	1	1	0.001133914	0.0004958088	0.000514111	0.005486435	0.006189073	0.006189073	0.002857131	0.002857131	0.728234	0.25174	0.0176487	0.00237767
5700	-305.4915	-316.1043	10.61286	1	0	1	1	0.001061399	0.001061399	0.0004127902	0.006036392	0.006311858	0.006311858	0.006945996	0.006945996	0.207754	0.489427	0.13486	0.167959
5800	-301.1645	-309.5056	8.341106	0	0	1	1	0.002575584	0.0004702845	0.0001128242	0.008319921	0.006135701	0.006135701	0.01135097	0.01135097	0.0431399	0.00264301	0.691259	0.262958
5900	-300.3005	-316.4369	16.13631	0	0	1	1	0.003609279	0.000425685	0.0003280555	0.006799631	0.005721128	0.005721128	0.005215732	0.005215732	0.223341	0.232657	0.492254	0.0517488
6000	-310.6851	-313.5184	2.833269	1	0	1	1	0.0009349618	0.0009349618	0.0006832402	0.006087141	0.00981814	0.00981814	0.01009698	0.01009698	0.0345997	0.0364697	0.800635	0.128296
6100	-303.0683	-312.8001	9.731812	1	0	1	1	0.002497374	0.002497374	0.0001873316	0.005775783	0.006820168	0.006820168	0.006263781	0.006263781	0.0403311	0.0776322	0.806236	0.0758011
6200	-306.442	-315.4263	8.984318	1	0	1	1	0.003521609	0.003521609	3.993542e-05	0.003847541	0.005400537	0.005400537	0.009393185	0.009393185	0.325469	0.100025	0.513465	0.0610407
6300	-301.2903	-314.6256	13.33531	0	0	1	1	0.002808164	0.003209854	0.0002518827	0.004808981	0.007788539	0.007788539	0.005699128	0.005699128	0.054652	0.272668	0.65457	0.0181098
6400	-303.8539	-313.47	9.616104	1	0	1	1	0.001113968	0.001113968	0.0001763979	0.004372154	0.006217939	0.006217939	0.00976589	0.00976589	0.233829	0.119274	0.539064	0.107833
6500	-297.6517	-315.938	18.28623	0	0	1	1	0.001597228	0.0005570017	8.539499e-05	0.005541386	0.00634606	0.00634606	0.006078859	0.006078859	0.229495	0.0425977	0.12678	0.601127
6600	-304.0418	-313.838	9.796143	1	0	1	1	0.003141737	0.003141737	3.660472e-05	0.006752294	0.00647752	0.00647752	0.00507962	0.00507962	0.168795	0.00788246	0.779618	0.0437043
