Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
4500	-307.6107	-319.4078	11.79707	0	1	1	1	0.006623838	0.0003662249	0.005499918	0.005499918	0.004767225	0.004767225	0.002468219	0.002468219	0.0608087	0.364562	0.0484195	0.52621
4600	-299.2943	-316.102	16.80765	0	1	1	0	0.003663784	0.0001231957	0.007363014	0.007363014	0.006491893	0.006491893	0.002683633	0.001182702	0.766781	0.178192	0.0337696	0.0212572
4700	-296.5139	-322.6435	26.12959	0	1	0	0	0.005184456	0.0003989186	0.006705769	0.006705769	0.003818791	0.0009688858	0.0007220094	0.001694871	0.264314	0.378297	0.205586	0.151802
4800	-304.6651	-318.3648	13.69968	0	1	1	1	0.005929523	0.000407482	0.006531319	0.006531319	0.003840161	0.003840161	0.001341177	0.001341177	0.510813	0.248628	0.15725	0.083309
4900	-300.3436	-317.6666	17.32297	0	1	1	0	0.006397643	0.0004104876	0.004680692	0.004680692	0.006560815	0.006560815	0.002617775	0.0003869274	0.653054	0.0399869	0.209296	0.0976629
5000	-304.3395	-311.4766	7.13707	0	1	1	1	0.006059139	0.0001073767	0.006229388	0.006229388	0.009851146	0.009851146	0.001582755	0.001582755	0.272369	0.0522029	0.384824	0.290605
5100	-304.6873	-313.4772	8.789965	0	1	1	1	0.004801706	1.724778e-05	0.007071462	0.007071462	0.009332614	0.009332614	0.001150958	0.001150958	0.11075	0.0112079	0.109762	0.76828
5200	-300.714	-315.0552	14.34122	0	1	1	0	0.004731724	2.445146e-05	0.00795053	0.00795053	0.006240767	0.006240767	0.002088767	0.002644333	0.175413	0.354925	0.408229	0.0614328
5300	-300.7658	-313.9248	13.15899	0	1	1	0	0.004564168	0.0004480352	0.006397361	0.006397361	0.01018483	0.01018483	0.000743687	0.002383768	0.479838	0.0789792	0.246571	0.194612
5400	-305.6138	-313.2197	7.605906	0	1	1	1	0.006437736	0.0002779199	0.006693873	0.006693873	0.009441697	0.009441697	0.0005656433	0.0005656433	0.47842	0.0983813	0.412406	0.0107928
5500	-301.7852	-317.2727	15.48757	0	1	1	0	0.005196046	0.001189048	0.005659114	0.005659114	0.006663007	0.006663007	0.002538149	0.001425541	0.717857	0.0508111	0.0607411	0.170591
5600	-297.2745	-312.0945	14.82002	0	1	1	0	0.005780843	2.193155e-05	0.005885941	0.005885941	0.009409875	0.009409875	0.001466442	0.0006938315	0.420353	0.25148	0.221432	0.106736
5700	-304.135	-316.1331	11.99812	0	1	1	1	0.004520224	0.0001565324	0.006178512	0.006178512	0.006125124	0.006125124	0.002567953	0.002567953	0.341001	0.340445	0.226744	0.0918104
5800	-301.4603	-317.2703	15.80994	0	1	1	0	0.004459723	0.001039773	0.005626415	0.005626415	0.008781019	0.008781019	0.002301865	0.0001781736	0.229757	0.670327	0.0656992	0.0342163
5900	-306.4935	-313.9711	7.477625	0	1	1	1	0.00781329	0.0001231385	0.006737361	0.006737361	0.005213989	0.005213989	0.003642077	0.003642077	0.689794	0.0980754	0.11233	0.0998002
6000	-306.0817	-314.5987	8.517039	0	1	1	1	0.006587795	0.0006865348	0.006995012	0.006995012	0.00760259	0.00760259	0.0007424405	0.0007424405	0.641591	0.197802	0.0176326	0.142975
6100	-305.7887	-322.1478	16.35912	0	1	1	1	0.003662681	6.804458e-05	0.006394579	0.006394579	0.003700972	0.003700972	0.001881034	0.001881034	0.436719	0.205113	0.0680936	0.290075
6200	-299.2565	-320.9458	21.6893	0	1	1	0	0.004502542	5.386905e-05	0.005039935	0.005039935	0.004574935	0.004574935	0.002727341	0.0003099913	0.402318	0.251596	0.20775	0.138335
6300	-306.9068	-317.7594	10.85265	0	1	1	1	0.003098847	0.000550846	0.006270361	0.006270361	0.008785131	0.008785131	0.001852055	0.001852055	0.357551	0.408921	0.21701	0.0165181
6400	-296.6173	-316.5953	19.97798	0	1	1	0	0.005375604	6.853191e-05	0.007016817	0.007016817	0.004108631	0.004108631	0.001770324	0.0003759779	0.674499	0.0727646	0.116912	0.135824
6500	-308.1177	-321.9515	13.83375	0	1	1	1	0.003350907	9.955414e-05	0.007745093	0.007745093	0.004068883	0.004068883	0.002667142	0.002667142	0.318548	0.388865	0.231066	0.0615205
6600	-308.7293	-323.7749	15.04557	0	1	1	1	0.004377554	0.001047884	0.005246602	0.005246602	0.004170238	0.004170238	0.002021968	0.002021968	0.317742	0.19399	0.227916	0.260352
6700	-299.8474	-319.2729	19.42553	0	1	0	1	0.004522863	3.362049e-05	0.006590003	0.006590003	0.006736742	0.0002325892	0.001086654	0.001086654	0.166171	0.0183322	0.311329	0.504168
6800	-306.9348	-313.2535	6.318688	0	1	1	1	0.005503403	0.000234353	0.006144954	0.006144954	0.008676248	0.008676248	0.003991654	0.003991654	0.203993	0.48128	0.0627691	0.251958
6900	-299.0674	-310.7004	11.63296	0	1	1	0	0.006500051	0.000136501	0.007451316	0.007451316	0.009686547	0.009686547	0.001580692	0.0007108202	0.285919	0.31193	0.367467	0.0346834
7000	-313.1363	-322.6693	9.532975	0	1	1	1	0.006503719	0.001175038	0.008870888	0.008870888	0.002136628	0.002136628	0.003033293	0.003033293	0.617853	0.049449	0.136081	0.196617
7100	-309.5044	-320.505	11.00062	0	1	1	1	0.002800204	0.0005611531	0.005884053	0.005884053	0.01016003	0.01016003	0.001021468	0.001021468	0.0991139	0.0920351	0.525159	0.283692
7200	-304.5717	-310.9942	6.422525	0	1	1	1	0.004712504	4.434822e-05	0.007516003	0.007516003	0.009096456	0.009096456	0.003089844	0.003089844	0.551109	0.228095	0.0429364	0.17786
7300	-300.1108	-311.5454	11.43461	0	0	1	0	0.007160781	0.0006177821	0.008198417	0.003831943	0.01141993	0.01141993	0.001198841	8.897829e-06	0.634645	0.224391	0.0443622	0.0966023
7400	-298.0486	-317.2302	19.18157	0	1	1	0	0.005108302	0.0001939686	0.005622197	0.005622197	0.005595187	0.005595187	0.002592062	0.0003056233	0.329245	0.110281	0.441743	0.118732
