Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
62	0	-306.3241	-311.0215	4.697485	0	1	1	1	0.005452161	0.000327208	0.006399938	0.006399938	0.01242014	0.01242014	0.001379074	0.001379074	0.262715	0.327961	0.23851	0.170815
63	1	-306.6679	-315.4015	8.73361	0	1	1	1	0.003858694	1.258589e-05	0.006573518	0.006573518	0.008523442	0.008523442	0.003455384	0.003455384	0.117269	0.0504976	0.0578345	0.774399
64	0	-306.2158	-315.6572	9.441338	0	1	1	1	0.003929177	6.923743e-05	0.006255366	0.006255366	0.007698441	0.007698441	0.003848057	0.003848057	0.349952	0.0364216	0.343781	0.269845
65	1	-298.3611	-317.4002	19.0391	0	1	1	0	0.005674593	4.601629e-06	0.006315937	0.006315937	0.004070663	0.004070663	0.002695366	0.0007816653	0.253978	0.0173488	0.11629	0.612383
66	0	-307.2523	-320.3242	13.07189	0	1	1	1	0.003567153	0.0001804741	0.008624829	0.008624829	0.00544821	0.00544821	0.0007819366	0.0007819366	0.525515	0.165335	0.282902	0.0262473
67	1	-302.3698	-314.6424	12.27269	0	1	1	1	0.004797702	3.088239e-05	0.006371545	0.006371545	0.006518904	0.006518904	0.001587481	0.001587481	0.535162	0.331989	0.0379145	0.0949339
68	0	-305.0108	-310.5109	5.500119	0	1	1	1	0.006583702	6.768608e-06	0.00670018	0.00670018	0.008949047	0.008949047	0.003031884	0.003031884	0.286007	0.0861683	0.135412	0.492412
69	1	-301.3905	-322.3546	20.96415	0	1	0	1	0.0046745	0.0002095603	0.005174378	0.005174378	0.00585156	0.0009689992	0.0009683065	0.0009683065	0.326181	0.0483907	0.00895947	0.616469
70	0	-306.8641	-321.1862	14.32202	0	1	1	1	0.00484175	4.974219e-05	0.004210212	0.004210212	0.006823533	0.006823533	0.001576284	0.001576284	0.301965	0.54232	0.0310009	0.124713
71	1	-300.6301	-322.652	22.02188	0	1	1	0	0.003214632	0.0007090125	0.005976345	0.005976345	0.005946999	0.005946999	0.0009363787	0.0001323153	0.579384	0.282986	0.0330515	0.104578
72	0	-302.275	-319.5105	17.23558	0	1	0	1	0.005405902	0.0005608455	0.005974362	0.005974362	0.004715009	0.001978557	0.002496631	0.002496631	0.336041	0.508637	0.125726	0.0295965
73	1	-307.602	-310.6265	3.02453	0	1	1	1	0.004805711	0.0003582669	0.008215794	0.008215794	0.0119762	0.0119762	0.002096033	0.002096033	0.292991	0.240519	0.195536	0.270954
74	0	-303.0336	-315.453	12.41946	0	1	1	1	0.005329907	4.725542e-05	0.005995934	0.005995934	0.00614161	0.00614161	0.001662528	0.001662528	0.306599	0.176909	0.033765	0.482727
75	1	-313.4067	-321.2639	7.857185	0	1	1	1	0.008820969	0.0004175418	0.003918869	0.003918869	0.008428394	0.008428394	0.001609778	0.001609778	0.350122	0.504566	0.0151346	0.130178
76	0	-297.2668	-317.422	20.15518	0	1	1	0	0.004943162	6.335181e-05	0.005833642	0.005833642	0.004787601	0.004787601	0.002204057	0.0007280051	0.550059	0.0748815	0.026336	0.348723
77	1	-299.5615	-321.6405	22.07898	0	1	1	0	0.004635476	0.0004882462	0.00667794	0.00667794	0.003969593	0.003969593	0.0009738269	0.0001203074	0.183662	0.229907	0.216831	0.369599
78	0	-299.829	-313.4851	13.65607	0	1	1	0	0.0052176	2.363829e-05	0.006394513	0.006394513	0.01002237	0.01002237	0.002196427	0.0004294776	0.0306106	0.35797	0.14498	0.46644
79	1	-305.3893	-314.3371	8.947849	0	1	1	1	0.006263986	0.0003084924	0.008151025	0.008151025	0.005853226	0.005853226	0.001658198	0.001658198	0.424557	0.0846243	0.235475	0.255344
80	0	-300.8561	-313.7002	12.84405	0	1	1	0	0.006623392	0.0001197571	0.006943482	0.006943482	0.01005969	0.01005969	0.0003245854	0.0009283276	0.312177	0.219449	0.126643	0.34173
81	1	-299.5757	-311.8385	12.26286	0	1	1	0	0.003900988	7.775057e-05	0.007164108	0.007164108	0.01064695	0.01064695	0.002566512	0.001154824	0.515509	0.00553759	0.0876501	0.391303
82	0	-296.4582	-313.3837	16.92557	0	1	1	0	0.005521644	1.597149e-05	0.007686947	0.007686947	0.006621916	0.006621916	0.001475011	8.286185e-05	0.444434	0.0273516	0.455959	0.0722561
83	1	-301.7457	-315.6123	13.86662	0	1	1	0	0.006907872	0.0004565227	0.006381467	0.006381467	0.00578173	0.00578173	0.003410895	0.001160099	0.196805	0.000501722	0.62306	0.179633
84	0	-304.2714	-316.198	11.92656	0	1	1	1	0.004816748	0.0002891431	0.005887168	0.005887168	0.007404236	0.007404236	0.001214078	0.001214078	0.258778	0.219003	0.174963	0.347256
85	1	-303.2266	-312.6672	9.440609	0	1	1	1	0.005942771	1.873566e-05	0.006855559	0.006855559	0.006500519	0.006500519	0.002483336	0.002483336	0.403964	0.428533	0.166774	0.000729702
86	0	-306.6932	-313.6862	6.993012	0	1	1	1	0.005661177	0.0006306178	0.008762445	0.008762445	0.007191464	0.007191464	0.001710984	0.001710984	0.734348	0.0799113	0.0315191	0.154221
87	1	-304.4772	-317.0265	12.54937	0	1	1	1	0.005792985	0.0003622577	0.00563267	0.00563267	0.005188344	0.005188344	0.002086561	0.002086561	0.458922	0.118299	0.0716525	0.351126
88	0	-298.1876	-316.7867	18.59909	0	1	1	0	0.00390317	3.057116e-05	0.008222411	0.008222411	0.006233194	0.006233194	0.001495164	4.586578e-05	0.462026	0.488666	0.00919629	0.0401108
89	1	-306.7038	-310.8254	4.121564	0	1	1	1	0.005582149	0.0003012413	0.00805046	0.00805046	0.008671353	0.008671353	0.003880568	0.003880568	0.703058	0.181653	0.0459005	0.0693882
90	0	-307.6107	-319.4078	11.79707	0	1	1	1	0.006623838	0.0003662249	0.005499918	0.005499918	0.004767225	0.004767225	0.002468219	0.002468219	0.0608087	0.364562	0.0484195	0.52621
91	1	-304.5729	-318.2583	13.68535	0	1	1	1	0.004631729	0.0003649693	0.00634318	0.00634318	0.005056156	0.005056156	0.001666246	0.001666246	0.288504	0.0173315	0.525849	0.168315
92	0	-299.2943	-316.102	16.80765	0	1	1	0	0.003663784	0.0001231957	0.007363014	0.007363014	0.006491893	0.006491893	0.002683633	0.001182702	0.766781	0.178192	0.0337696	0.0212572
93	1	-298.0812	-318.1999	20.11867	0	1	1	0	0.004421991	0.0002756127	0.00702907	0.00702907	0.005279162	0.005279162	0.00120932	0.0003768118	0.28646	0.0126526	0.581925	0.118962
94	0	-296.5139	-322.6435	26.12959	0	1	0	0	0.005184456	0.0003989186	0.006705769	0.006705769	0.003818791	0.0009688858	0.0007220094	0.001694871	0.264314	0.378297	0.205586	0.151802
95	1	-305.3286	-316.2544	10.9258	0	1	1	1	0.005923501	0.0001140753	0.008211474	0.008211474	0.004685691	0.004685691	0.001558066	0.001558066	0.270788	0.232105	0.0582556	0.438852
